edrpou_hosp,legal_entity_lat,legal_entity_lng
01994209,49.388636,30.17238
01994238,50.173449,30.1038
01994385,50.20137822,30.31249427
01994416,49.86291758,30.8231225
01994422,50.27067352,31.76379199
01994451,50.31867779,30.29485029
01994497,50.51093101,30.76494227
01994592,49.81813782,30.1214136
01994669,50.33096378,30.27641061
05496845,"50,473007","30,495598"
22201472,50.3944886,30.3796376
26191575,50.52509323,30.23623379
34019061,49.7907398,30.126352500000003
00185028,50.45042402,30.37829739
01994095,50.43936928,30.52706671
04350694,50.54259849,30.48940261
05492261,50.474838,30.4664
05496796,50.4202461,30.38401157
07773293,50.43038318,30.53131401
25680355,50.43590982,30.4125851
25680639,50.4142796,30.541990600000002
30212155,50.4243125,30.48234101
38806904,50.4629826,30.470882899999996
01994942,48.50547429,32.21933442
01995083,49.057638,33.24039
01995137,48.379967,30.44735
01995203,48.50635898,31.74191241
05493846,48.51479281,32.23900402
05493852,48.54205,32.26022
01983571,49.3790765,40.1375118
01983588,48.96594861,38.99532822
01983683,49.02324378,38.3568495
01983714,49.27368528,38.9255483
05401658,48.91970221,38.4088461
08734470,48.958299,38.50109
25356637,49.04222670000001,38.2176555
37336064,49.20577238,39.57027409
37747995,48.95890608,38.49004153
42974427,49.41548089,38.15688902
01107970,49.264977,23.84237
01984228,49.27645,23.52259
01984276,"49,841683","24,034723"
01984292,49.836681,24.05352
01996208,49.391497,24.13366
01996272,49.799864,24.89279
01996326,50.0971359,24.33878
01996409,50.055559,23.98073
01996504,49.674474,24.55279
01996606,49.801953,23.14703
01996622,49.846848,24.0312
01996639,49.874177,24.03962
01996645,49.83902,24.01115
01996651,49.835317,24.0338
01996668,49.832934,24.00586
01996674,"49,826541","24,073911"
01996711,49.838884,24.04602
01996728,49.84349337,24.04450578
01996740,49.816897,23.9904
01996958,49.25138661,23.83656623
01997248,50.46684718,24.28568599
01997372,49.041612,23.5184
01997633,49.963842,24.58872
01997645,49.81307159,24.05100451
01997863,49.786744,23.6486
01998035,49.716537,23.90712
01998101,50.279998,24.63664
01998147,49.78226851,24.09759998
01998161,49.82521429,24.13448422
01998226,50.085451,25.14956
05800293,"49,850539","24,043708"
13802089,49.266592,23.87411
13815703,49.361093,23.5034326
13821460,49.30272563,23.56347907
19163609,"49,353672","23,497186"
20761149,"49,809889","23,987084"
20763272,49.9138244,23.7376639
20763289,49.934062299999994,23.564493
20763591,49.2983115,23.4052672
20763929,"49,337511","24,106213"
20763941,50.2260935,23.6172155
20764294,49.5302201,23.980325600000004
20764314,49.4682092,24.14000483
20764478,50.219683,24.845844699999997
20851349,"49,844893","23,967720"
22398210,49.94151733,23.38842172
22421239,49.3531768,23.5474001
23957835,49.825814,23.967092
23970286,"49,790119","24,057583"
25232763,"49,797736","24,066198"
38501853,"49,840692","24,057327"
40221119,"49,585732","23,977538"
40626575,"49,786585","23,648341"
40855931,"49,801700","23,146981"
41045137,49.65732192,23.48239659
41151514,49.788371399999996,23.369379000000002
41180990,"49,748452","24,140268"
41851009,"49,757964","24,013312"
41894875,"49,643143","23,855295"
41900490,"50,395091","24,252053"
42224043,"49,254850","23,845344"
42310851,49.3978601,24.3096456
42428764,"49,519324","23,204058"
42877452,"49,629863","24,285693"
01994089,50.450109,30.48302
01998259,47.95823,30.32979
01998302,46.966732,32.79775
01998319,48.02473477,30.84148301
01998383,46.954976,31.9427
01998443,47.57435761,31.31573909
01998466,47.861601,30.59296
05483078,46.97367768,32.01833987
33850812,47.8176668,31.18266811
43443474,46.93657128,32.0356777
02002730,49.39854002,36.22512862
00184945,50.472586,30.6193
01981738,50.413816,30.66586
01993664,50.46244299,30.45860813
01993730,50.42398313,30.46109001
01993776,50.443348,30.50921
01993828,"50,451085","30,448336"
01993871,50.452473,30.51042
01994072,50.483988,30.47271
02011930,50.467498,30.47587
03319759,50.426956,30.52718
05415941,50.47371679,30.60280857
05415958,50.47723,30.60217
05493562,50.419964,30.49822
05494840,50.449961,30.35397
05496780,50.499464,30.44455
05497146,50.52346343,30.4637498
08735882,50.4595781,30.47847581
13697965,50.4510935,30.3619732
14321618,"50,369395","30,526643"
21522748,50.4163937,30.603768699999996
25680295,50.47056122,30.43848982
26168139,50.543276,30.35532
26199074,50.46492768,30.52168599
26267870,50.434239500000004,30.5287304
26387019,50.440321000000004,30.514122999999998
37027405,50.469645,30.47645
38196712,"50,450465","30,632863"
38831595,50.4738243,30.61742712
39007616,"50,447028","30,503975"
40032148,50.413816,30.66586
42751893,50.4788309,30.6043106
01111121,47.727765,29.55853
01982146,45.335744,28.85801
01982212,46.30158858,30.64101787
01998526,46.582025,30.78769
01998532,46.484771,30.69272
01998615,47.72295,29.96038
01998638,46.00705081,29.43409597
01998644,47.961323,29.6142
01998650,47.200012,30.89724
01998667,46.19108,30.34413
01998696,46.19042223,30.34259411
01998704,46.482519,30.21516
